objectid,title,creator,date,tibetan,wylie,chinese,pinyin,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
001,Gyalthang (རྒྱལ་ཐང་),Chensiyuan,,རྒྱལ་ཐང་,rgyal thang,香格里拉,Xiānggélǐlā,Shangri-La,,"Shangri-La, Yunnan",27.845833,99.742222,,001,,image/jpg,,Creative Commons Attribution-Share Alike 4.0 International,https://creativecommons.org/licenses/by-sa/4.0/deed.en,image,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/1_songzanlin_2018a.jpg/1920px-1_songzanlin_2018a.jpg,objects/small/001_sm.jpg,objects/thumbs/001_th.jpg,,
002,Xining (ཟི་ལིང་),xiquinhosilva,,ཟི་ལིང་,zi ling,西宁,Xīníng,TO DO,,"Xining, Qinghai",36.6224,101.7804,,002,,image/jpg,,Creative Commons Attribution 2.0 Generic,https://creativecommons.org/licenses/by/2.0/deed.en,image,https://upload.wikimedia.org/wikipedia/commons/c/c3/Kumbum_Monastery.jpg,objects/small/002_sm.jpg,objects/thumbs/002_th.jpg,,
003,Ngari (མངའ་རིས་),Jean-Marie Hullot,,མངའ་རིས་,mnga' ris,阿里地区,Ālǐ dìqū,TO DO,,"Ngari, Tibet Autonomous Region",32.49,80.1,,003,,image/jpg,,Creative Commons Attribution-Share Alike 4.0 International,https://creativecommons.org/licenses/by-sa/4.0/deed.en,image,https://upload.wikimedia.org/wikipedia/commons/d/d3/Gurla_Mandhata_%26_Manasarovar.jpg,objects/small/003_sm.jpg,f,,
004,Lithang (ལི་ཐང་),guan,,ལི་ཐང་,li thang,理塘,Lǐtáng,TO DO,,"Litang, Sichuan",29.9942,100.2692,,004,,image/jpg,,Creative Commons Attribution 3.0 Unported,https://creativecommons.org/licenses/by/3.0/deed.en,image,https://upload.wikimedia.org/wikipedia/commons/f/f8/318%E5%9B%BD%E9%81%93_%E7%94%98%E5%AD%9C%E8%97%8F%E6%97%8F%E8%87%AA%E6%B2%BB%E5%B7%9E%E7%90%86%E5%A1%98%E5%8E%BF_-_panoramio_%281%29.jpg,objects/small/004_sm.jpg,objects/thumbs/004_th.jpg,,
005,Garze (དཀར་མཛེས་),Chensiyuan,,དཀར་མཛེས་,dkar mdzes,甘孜,Gānzī,Garzê,,"Garzê Tibetan Autonomous Prefecture, Sichuan",30.0495,101.9623,,005,,image/jpg,,Creative Commons Attribution-Share Alike 3.0 Unported,https://creativecommons.org/licenses/by-sa/3.0/deed.en,image,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/1_Seda_facing_south.jpg/2560px-1_Seda_facing_south.jpg,objects/small/005_sm.jpg,objects/thumbs/005_th.jpg,,
